NClot|Port|Date|formular|T90|DF|VC|Conta|originalwt|DE|DL|Da|Db|Kg
N1Q030548|V53|43895.8036689815|DA3WL|510|106|0.99|2|723|3.4672|2.603|0.897|2.107|8.5
N1Q030549|V54|43895.8037152778|DA3WL|510|106|0.99|2|702|3.4672|2.603|0.897|2.107|8.5
N1Q030550|V55|43895.8080671296|DA3WL|468|106|0.76|2|606|3.32|2.658|0.827|1.81|8.5
N1Q030551|V56|43895.8277430556|DA3WL|468|106|0.76|1.66|704|3.32|2.658|0.827|1.81|8.5
N1Q030552|V57|43895.8278356481|DA3WL|513|106|0.86|2|602|4.024|3.033|0.965|2.462|8.5
N1Q030553|V58|43895.9719328704|DA3WL|513|106|0.86|1.33|730|4.024|3.033|0.965|2.462|8.5
N1Q032050|F78|43910.7273263889|DA3L3KG|587|105|0.82|2|802|5.016|1.116|0.809|4.823|3
N1Q032051|F79|43910.7294675926|DA3L3KG|587|105|0.82|2|450|4.901|1.236|0.685|4.693|3
N1Q040728|R88|43928.9852893519|DA3WL|539|106|0.88|2|700|4.791|3.023|1.319|3.475|10
N1Q040729|R89|43928.9853472222|DA3WL|539|106|0.88|2|700|4.791|3.023|1.319|3.475|10
N1Q040801|R90|43929.0191666667|DA3WL|533|105|1.06|2|701|4.762|3.23|1.339|3.233|10
N1Q040802|R91|43929.0546759259|DA3WL|533|105|1.06|2|700|4.762|3.23|1.339|3.233|10
N1Q040803|R92|43929.0551736111|DA3WL|531|103|0.9|1.66|703|3.984|3.014|1.008|2.403|10
N1Q040804|R93|43929.0562615741|DA3WL|531|103|0.9|1.66|701|3.984|3.014|1.008|2.403|10
N1Q040805|R94|43929.0715509259|DA3WL|572|104|0.9|2|702|4.204|3.135|1.007|2.614|10
N1Q040806|R95|43929.1215162037|DA3WL|572|104|0.9|2|701|4.204|3.135|1.007|2.614|10
N1Q040807|R96|43929.1221527778|DA3WL|498|105|1.07|1.66|360|4.204|3.135|1.007|2.614|10
N1Q041709|X24|43938.2787384259|DA3WL|751|104|1.17|2|702|3.85|2.528|0.932|2.75|10
N1Q041710|X25|43938.2815393519|DA3WL|751|104|1.17|2|721|3.85|2.528|0.932|2.75|10
N1Q041711|X26|43938.3110416667|DA3WL|714|104|0.92|2|701|3.983|2.648|0.908|2.833|10
N1Q041712|X27|43938.3110763889|DA3WL|714|104|0.92|2|721|3.983|2.648|0.908|2.833|10
N1Q041714|X29|43938.4144675926|DA3WL|748|104|1.1|2|722|3.983|2.648|0.908|2.833|10
N1Q041716|X31|43938.4155555556|DA3WL|743|104|1.12|2|722|3.983|2.648|0.908|2.833|10
N1Q041705|X20|43938.2509375|DA3WL|660|100|1.04|2|702|3.548|1.57|0.963|3.033|10
N1Q041706|X21|43938.2509722222|DA3WL|660|100|1.04|2|722|3.548|1.57|0.963|3.033|10
N1Q041707|X22|43938.2510185185|DA3WL|710|102|1.05|2|701|3.959|2.533|0.906|2.904|10
N1Q041708|X23|43938.2511111111|DA3WL|710|102|1.05|2|721|3.959|2.533|0.906|2.904|10
